Feature,Normalized.Dispersion
ENSG00000117632,-0.15287491729465988
ENSG00000158006,-1.1246834708304212
ENSG00000175087,-1.3833149825696303
ENSG00000142684,-1.505647413332965
ENSG00000130695,-0.9389213048338034
ENSG00000142669,-0.8877878317266595
ENSG00000158062,-1.7574729107825062
ENSG00000176092,0.055439557095757284
ENSG00000117682,0.795882044072411
ENSG00000225891,NaN
ENSG00000198830,-0.3104464015446941
ENSG00000117676,-1.379760698956736
ENSG00000260063,NaN
ENSG00000117713,1.8551477397963734
ENSG00000060642,-0.44282995167341693
ENSG00000204160,0.3774373936386432
ENSG00000175793,-2.3538829421969485
ENSG00000142751,-0.5197255608499356
ENSG00000198746,-1.7206984513212777
ENSG00000090273,-0.33688096360453557
ENSG00000131910,NaN
ENSG00000253368,-1.8836462984413782
ENSG00000158246,0.21170901962053362
ENSG00000090020,1.1180483140923292
ENSG00000142784,0.04024691238024121
ENSG00000186501,-1.0960827133489313
ENSG00000142765,0.017745020979915555
ENSG00000142733,-1.0258453756923775
ENSG00000181773,NaN
ENSG00000158195,-0.46967351852890205
ENSG00000126705,1.005822068349163
ENSG00000126709,0.6908874810346007
ENSG00000009780,-1.1685457692687782
ENSG00000117758,-1.719177749692699
ENSG00000286433,NaN
ENSG00000117751,-0.49475736541704485
ENSG00000130775,NaN
ENSG00000117748,-1.178051744537933
ENSG00000130768,1.5296882426204355
ENSG00000158156,-0.7771756158458969
ENSG00000158161,1.8034846061111864
ENSG00000169403,-1.3835429043305787
ENSG00000126698,-1.5243259345809455
ENSG00000130770,-1.3038222027558735
ENSG00000270605,-0.028556951571349475
ENSG00000130766,-0.38520756694857017
ENSG00000130772,-1.6909108548650074
ENSG00000204138,0.6698210331682904
ENSG00000180198,0.3597274337769188
ENSG00000242125,1.825897873485502
ENSG00000180098,0.5533645581502772
ENSG00000197989,-1.4628119634868288
ENSG00000120656,-1.7403755120882565
ENSG00000188060,1.5706629119141022
ENSG00000229388,NaN
ENSG00000270103,NaN
ENSG00000162419,-0.13688050906746085
ENSG00000198492,-0.5255036927476935
ENSG00000159023,2.3411716822410757
ENSG00000225750,NaN
ENSG00000116350,3.3406031310288875
ENSG00000116353,-0.6315193083701772
ENSG00000060656,-0.5847524270599584
ENSG00000186056,NaN
ENSG00000223382,NaN
ENSG00000162512,2.271218888275279
ENSG00000134644,1.9166058838200852
ENSG00000084628,-3.5034854998390577
ENSG00000060688,0.0702458346537968
ENSG00000121766,-1.7827440572236823
ENSG00000229044,3.2176741934045485
ENSG00000168528,-0.29485132572974654
ENSG00000284543,NaN
ENSG00000229167,NaN
ENSG00000121764,NaN
ENSG00000162517,-2.4163986012437335
ENSG00000235790,NaN
ENSG00000084636,-1.4702566097707317
ENSG00000121753,3.1080178360834783
ENSG00000134668,0.5499629802300569
ENSG00000269967,-1.534301575540061
ENSG00000184007,-1.3014625174799908
ENSG00000121774,-1.311239217495336
ENSG00000203325,1.9895262880120423
ENSG00000121775,1.3416626174123962
ENSG00000025800,1.1902838414639503
ENSG00000084652,0.0248546563648715
ENSG00000160050,-1.607684095134596
ENSG00000160051,NaN
ENSG00000222046,NaN
ENSG00000160055,3.6366148725785794
ENSG00000084623,-1.7315244375047385
ENSG00000116478,-0.8951754579732563
ENSG00000175130,-0.7048425679898542
ENSG00000162526,0.3444614565848974
ENSG00000225828,NaN
ENSG00000160058,-0.929073477540474
ENSG00000160062,-1.3996215737203164
ENSG00000176261,-0.7971869731967461
ENSG00000162521,-0.7179161921007332
ENSG00000162520,-0.10946740523443348
ENSG00000162522,0.8279397321887431
ENSG00000134684,-1.4358256947255696
ENSG00000116497,3.104464589812081
ENSG00000160097,NaN
ENSG00000121905,NaN
ENSG00000121900,-0.7502964205141921
ENSG00000287691,NaN
ENSG00000116514,1.1915067539604647
ENSG00000236065,-0.666940329266914
ENSG00000004455,-1.4512107748270298
ENSG00000142920,2.68876758484461
ENSG00000116525,NaN
ENSG00000160094,1.145987345092782
ENSG00000225313,-0.42148243323822965
ENSG00000134686,1.016965105524964
ENSG00000233246,0.20147590060383305
ENSG00000121903,2.8048970898335286
ENSG00000121904,-0.12297187142168163
ENSG00000163866,-0.45622091608414267
ENSG00000189433,NaN
ENSG00000188910,-2.7195754584672094
ENSG00000116544,NaN
ENSG00000243749,-1.0250084043793124
ENSG00000163867,0.13603855453316704
ENSG00000197056,-1.4491677010765551
ENSG00000116560,0.7374846710225551
ENSG00000146463,-1.0586232097070833
ENSG00000227409,NaN
ENSG00000142687,-1.3895989509028457
ENSG00000020129,2.636263155916554
ENSG00000239636,NaN
ENSG00000116819,-0.07499076167585153
ENSG00000126067,-1.2183908174905302
ENSG00000142686,-0.26799901061189907
ENSG00000092853,-0.5124688668606118
ENSG00000232335,NaN
ENSG00000134698,1.896370537888908
ENSG00000092847,1.11166047539943
ENSG00000286899,NaN
ENSG00000126070,0.31922027914149037
ENSG00000271554,0.48201630562661774
ENSG00000116863,0.23100771659299882
ENSG00000054116,-1.5921885033827192
ENSG00000116871,2.901336211286633
ENSG00000054118,-0.2456089238796343
ENSG00000214193,4.252484964424168
ENSG00000142694,-1.7698789401861628
ENSG00000196182,4.021324024071035
ENSG00000181817,-1.1754389071860625
ENSG00000116885,3.452916687171424
ENSG00000116898,-1.514115238996197
ENSG00000233621,-1.0762154195289368
ENSG00000163874,-1.1050423026732679
ENSG00000163875,-0.9442672036482356
ENSG00000163877,-1.2132776817893716
ENSG00000134697,0.9032652209806209
ENSG00000116922,-1.2606738995629005
ENSG00000134690,0.20514440012199067
ENSG00000183317,NaN
ENSG00000185090,-0.5900233563505576
ENSG00000196449,-1.7101430461345823
ENSG00000197982,-1.4721489812095694
ENSG00000188786,1.7321952669161742
ENSG00000204084,1.434357779033847
ENSG00000183431,-1.6276644841810686
ENSG00000183386,-0.9783251669243141
ENSG00000183520,-1.2454756181707358
ENSG00000224592,NaN
ENSG00000116954,-1.7689141917086746
ENSG00000228436,0.6131408663016715
ENSG00000214114,-1.3268415725720777
ENSG00000131233,NaN
ENSG00000158315,-0.2911092906233613
ENSG00000174574,-1.4120226867765797
ENSG00000168653,-0.7456180501339466
ENSG00000127603,2.26970273835393
ENSG00000287422,-1.219567759523373
ENSG00000226438,NaN
ENSG00000183682,NaN
ENSG00000090621,-0.5309894353211406
ENSG00000228060,NaN
ENSG00000163909,0.5096888361732371
ENSG00000084072,-1.5397411679419208
ENSG00000116985,-0.9586583144878995
ENSG00000198754,NaN
ENSG00000284719,NaN
ENSG00000043514,1.5449114906572294
ENSG00000116990,NaN
ENSG00000168389,-0.7550810643139192
ENSG00000131236,-1.0540838131862775
ENSG00000131238,0.3855077798669797
ENSG00000117000,-0.3607427770094863
ENSG00000259943,-0.13628803632158693
ENSG00000084073,0.5698960313114352
ENSG00000049089,NaN
ENSG00000084070,-1.5181137845783255
ENSG00000187801,4.226217543556661
ENSG00000260920,1.3461709559431403
ENSG00000238287,1.4441716282034132
ENSG00000164002,NaN
ENSG00000117010,2.2696866119748584
ENSG00000117016,NaN
ENSG00000237899,NaN
ENSG00000272145,4.07961931133712
ENSG00000066136,-0.23224454493060412
ENSG00000117013,2.995600870781406
ENSG00000179862,-0.4647009968347616
ENSG00000171793,0.738191587025685
ENSG00000281207,1.0056098473891404
ENSG00000171790,1.2137230284284775
ENSG00000010803,2.4454183018141924
ENSG00000204060,1.7833792317492267
ENSG00000229901,NaN
ENSG00000127129,NaN
ENSG00000127124,2.0296313469696363
ENSG00000287587,NaN
ENSG00000044012,NaN
ENSG00000198815,1.3397977467036084
ENSG00000227527,NaN
ENSG00000177181,3.849414855980488
ENSG00000066185,NaN
ENSG00000127125,-1.4357639359504295
ENSG00000186409,-0.24290218252136686
ENSG00000171960,-2.069633451460948
ENSG00000285728,2.242245808916194
ENSG00000065978,-1.046911625404911
ENSG00000117385,3.817701864274436
ENSG00000164008,-1.066350668581995
ENSG00000274386,0.44927812005551365
ENSG00000177868,0.09031511899896148
ENSG00000164010,-1.3257932341764032
ENSG00000228192,NaN
ENSG00000164011,-0.734258334014627
ENSG00000117394,1.214534908718752
ENSG00000227533,3.94786566415437
ENSG00000186973,NaN
ENSG00000117395,-0.9165199317334167
ENSG00000243710,NaN
ENSG00000234694,1.5046420648205425
ENSG00000117399,-1.7167636217071616
ENSG00000066322,-1.7235562792404069
ENSG00000159479,-1.1582042466536162
ENSG00000198198,1.8159499131625516
ENSG00000229372,NaN
ENSG00000178922,0.493974293754229
ENSG00000142949,2.0518549076991923
ENSG00000066135,1.7928351174104191
ENSG00000236200,-0.06038601105525716
ENSG00000126091,1.31435101975944
ENSG00000229444,3.6322528310204327
ENSG00000117407,0.7282448998585798
ENSG00000237950,-0.6816210496916342
ENSG00000117408,1.699037910315041
ENSG00000132768,0.36137302473384897
ENSG00000117410,-0.5137956769584546
ENSG00000117411,-0.573845844150775
ENSG00000159214,-1.2852820640564326
ENSG00000196517,-2.1811122040296205
ENSG00000230615,1.7286060009600317
ENSG00000171872,NaN
