Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000180233,ZNRF2,0.010148233883670366,-0.21854034730510907,0.9886457438809212,0.010769922721511229,-0.0472398182513869,1,0.01723844552939172,0.847655576621059,0.6465619379582233
ENSG00000281404,LINC01176,0.002099634596621455,-0.43055075011443655,0.9886457438809212,0.0023933161603358283,-0.08376569427650082,1,0.0057461485097972395,1.6581777777573459,0.5642729559210576
ENSG00000106100,NOD1,0.005249086491553637,-1.045260594229645,0.46391572027660755,0.009573264641343313,0.3742239501868898,1,0.019153828365990798,1.4961210196483732,0.35127006580004366
ENSG00000272638,AC006027.1,0,-1.5009400780058346,0.9751362390006756,0,-1.154155022167899,1,0.0038307656731981594,4.943579996619595,0.29139756204641415
ENSG00000006625,GGCT,0.046891839324545825,0.10555558426496248,1,0.04547300704638074,0.01890968680498073,1,0.03447689105878344,-0.3534569227260569,1
ENSG00000196295,GARS-DT,0.004899147392116728,-0.6529431714508842,0.8199478581061633,0.006781062454284848,0.1413008613582729,1,0.01340767985619356,1.3586174958984385,0.43950644069273337
ENSG00000106105,GARS,0.049691352120041096,0.7047349483856795,0.39689939936306584,0.029517565977475218,-0.6712907090654792,1,0.03447689105878344,-0.15500622310245493,1
ENSG00000106125,MINDY4,0.002799512795495273,-0.6529431714508851,0.9013492970176705,0.0035899742405037425,-0.05461934861698481,1,0.009576914182995399,1.7736549951772824,0.4151427054272308
ENSG00000106128,GHRHR,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000154678,PDE1C,0.012947746679165638,-0.85787462272111,0.4045689329178904,0.02074207338957718,0.3007469379888841,1,0.038307656731981596,1.2590818223475244,0.32554494684880847
ENSG00000106355,LSM5,0.11128063362093711,0.5005682284994419,0.5772942953356478,0.08615938177208983,-0.2212692180264355,1,0.04213842240517975,-1.181215629333058,0.4484630160094662
ENSG00000105778,AVL9,0.018546772270156185,-0.968444997178814,0.2315421782718034,0.030315338030920493,0.22186058828176147,1,0.06703839928096779,1.5061746843122967,0.18077152419695425
ENSG00000273014,AC018645.3,0.0006998781988738183,-0.33101507656352247,1,0.0007977720534452762,0.01576997927441326,1,0.0019153828365990797,2.036689401011076,0.81604797749399
ENSG00000281332,LINC00997,0.002099634596621455,-0.27854765666938697,1,0.0019944301336131906,-0.3061581156129485,1,0.0057461485097972395,1.7736549951772824,0.5642729559210576
ENSG00000170852,KBTBD2,0.005249086491553637,-1.0034404185350176,0.5218491060987464,0.01037103669478859,0.6621330246597132,1,0.01340767985619356,0.9663000731196778,0.6468396591491438
ENSG00000122642,FKBP9,0.011547990281418001,-0.03796810166328868,1,0.011567694774956503,-0.0198539304563079,1,0.01340767985619356,0.38133757239852173,1
ENSG00000122643,NT5C3A,0.022046163264525277,-0.14479626778055898,1,0.023135389549913007,-0.008477566972263872,1,0.030646125385585275,0.5153429995858918,0.8047703484029824
