Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000140057,AK7,0.0033763314974726653,-0.012408119488856784,1,0.0018002427662226859,0.012408119488856784,1
ENSG00000260806,AL163051.1,0.001500591776654518,-0.09041063149012984,1,0,0.09041063149012984,1
ENSG00000090060,PAPOLA,0.05608461765246261,0.5761656347846786,0.9004796521430382,0.036004855324453716,-0.5761656347846786,0.9004796521430382
ENSG00000258702,AL137786.1,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000258979,LINC02299,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000100749,VRK1,0.021946154733572323,-0.28458317917912,1,0.0252033987271176,0.28458317917912,1
ENSG00000225163,LINC00618,0.001500591776654518,-1.0904106314901298,1,0.0018002427662226859,1.0904106314901298,1
ENSG00000127152,BCL11B,0.0037514794416362946,-0.8680182101536822,0.9524949607985181,0.005400728298668058,0.8680182101536822,0.9524949607985181
ENSG00000183576,SETD3,0.016506509543199696,-0.8720650432163843,0.5539025604250551,0.028803884259562974,0.8720650432163843,0.5539025604250551
ENSG00000090061,CCNK,0.01463076982238155,0.23609019318705649,1,0.010801456597336116,-0.23609019318705649,1
ENSG00000205476,CCDC85C,0.00712781093910896,-0.2968615089575559,1,0.007200971064890743,0.2968615089575559,1
ENSG00000182218,HHIPL1,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000036530,CYP46A1,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000066629,EML1,0.013692899961972475,-0.5103138859407901,0.9177715591915351,0.018002427662226858,0.5103138859407901,0.9177715591917438
ENSG00000196405,EVL,0.01894497118026329,-0.9802277137397066,0.44353732479546587,0.036004855324453716,0.9802277137397066,0.44353732479536495
ENSG00000258560,AL157912.1,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000168350,DEGS2,0.000750295888327259,-0.9384075380450803,1,0,0.9384075380450803,1
ENSG00000258982,AL133523.1,0.0005627219162454442,-2.260335632932442,0.7602014302160325,0.0018002427662226859,2.260335632932442,0.7602014302160325
ENSG00000100811,YY1,0.054021303959562644,0.5926619546808745,0.8822038412124439,0.03420461255823103,-0.5926619546808745,0.8822038412124439
ENSG00000259052,AL157871.6,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000197119,SLC25A29,0.005439645190372627,-0.9384075380450803,0.7542092551279387,0.009001213831113429,0.9384075380450803,0.7542092551279387
ENSG00000258666,AL157871.4,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
