Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000213963,AC019080.1,0,-0.929407842627084,1,0,-0.6087491042553435,1,0,0.6059509459145467,1,0.0019730381416587454,2.849078537922985,1,0.003652246256239598,3.767567127134594,0.9520804322061026,0,2.509361307652431,1
ENSG00000280374,AC019080.6,0,0.07059215737291602,1,0,0.39125089574465655,1,0.0012050970940414968,3.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000018510,AGPS,0.012642203794341009,-0.999797170518482,0.4576558326764274,0.027087896831518243,0.4737130559366287,1,0.018076456410622454,-0.2269390682501955,1,0.02860905305405181,0.5271504430356222,1,0.021913477537437588,0.21737004457411402,1,0.040537046612986606,1.0739751629817835,0.6936899642160903
ENSG00000196659,TTC30B,0,-1.5143703433482418,0.8629166093734758,0.0018469020566944255,1.8062883950234987,1,0.0012050970940414968,1.2840228510271832,1,0,-0.32084646351932733,1,0.003652246256239598,3.0306015329683866,1,0,1.924398806931273,1
ENSG00000197557,TTC30A,0.0015802754742926261,0.48562965665175817,1,0.0006156340188981418,-0.6087491042553435,1,0,-0.5639740555277655,1,0.0029595572124881185,1.6791535364806718,1,0.003652246256239598,2.35252962785575,1,0,1.339436306210117,1
ENSG00000128655,PDE11A,0.0005267584914308754,-1.2513359375144475,0.8693287130962178,0.0006156340188981418,-0.930677199142707,1,0.0012050970940414968,0.28402285102718317,1,0.00690563349580561,3.264116037201828,0.20933304767634509,0,0.893098009218452,1,0,1.0499296890151326,1
ENSG00000229941,AC012499.1,0,0.07059215737291602,1,0,0.39125089574465655,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0.004053704661298661,5.509361307652431,0.49377532710207794
ENSG00000155636,RBM45,0.005794343405739629,0.48562965665175994,1,0.0043094381322869935,-0.06818072289264165,1,0.0036152912821244905,-0.09448877222654595,1,0.003946076283317491,-0.05781205768553388,1,0,-0.5054513672718226,1,0.012161113983895983,1.8089215895113382,0.6701800475660077
ENSG00000079156,OSBPL6,0.0015802754742926261,-0.7367627646846895,1,0.0043094381322869935,1.069322800857293,1,0,-1.4815118953357942,1,0.0029595572124881185,0.45676111514422413,1,0.003652246256239598,1.3525296278557501,1,0.008107409322597322,2.1874332127650673,0.7098258562291294
ENSG00000223960,CHROMR,0.0015802754742926261,-1.3217252654058456,0.7149515933022709,0.0030781700944907094,-0.2717141169777735,1,0.008435679658290477,1.5184881046642058,1,0.005919114424976237,0.9015459578171203,1,0,-0.23243287286540681,1,0.008107409322597322,1.6348921897362887,0.8531517854682418
