Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000150764,DIXDC1,0.008671710349375571,-0.2586848668484629,1,0.010173875157204533,0.02621269147696559,1,0.007854112354955794,-0.29597853210889813,1,0.01634613594474336,0.8887011588251994,1,0.011389088267596005,0.5281819056245904,1,0.00937925965807364,0.0776987788942094,1,0.00810898175940891,0.1877241015250508,1
ENSG00000150768,DLAT,0.007337601064856252,-0.07582080969865146,1,0.008817358469577262,0.25887344826724057,1,0.006732096304247824,-0.09958131930539516,1,0.0102163349654646,0.5363043788255855,1,0.015185451023461338,1.2733214312364964,1,0.001875851931614728,-1.228962559339843,1,0.00810898175940891,0.5710527410765556,1
ENSG00000150773,PIH1D2,0.0006670546422596593,-0.2586848668484638,1,0.001356516687627271,0.5808015431546014,1,0.0011220160507079706,0.6780262593581572,1,0.00204326699309292,1.3248002736318742,1,0,1.4108249549864311,1,0.001875851931614728,1.5182713702801909,1,0,1.5096521964124126,1
ENSG00000150776,NKAPD1,0.008004655707115912,0.20471565399178004,1,0.007460841781949991,0.07830120262541929,1,0.004488064202831882,-0.5502427283149594,1,0.01225960195855752,0.9808458724145117,1,0,-1.0810281413432437,1,0.003751703863229456,-0.5156759616431472,1,0.012163472639113364,1.1173347736336527,0.8909078916875951
ENSG00000150779,TIMM8B,0.06337019101466763,0.4612072139588026,0.9723873570851563,0.048156342410768126,-0.08216346956782683,1,0.06619894699177026,0.48538118141576136,1,0.04290860685495132,-0.25455952085990674,1,0.018981813779326673,-1.2038848891287772,1,0.04502044635875347,-0.1338053262995027,1,0.00810898175940891,-2.119704423667197,0.6423888790801441
ENSG00000204370,SDHD,0.02067869391004944,0.33921668958019247,1,0.0210260086582227,0.3713481775256531,1,0.02019628891274347,0.2903651990106182,1,0.01838940293783628,0.12978429122673063,1,0.011389088267596005,-0.26160038698506405,1,0.005627555794844184,-1.3467990496337006,1,0,-2.20459332125371,0.6712254257731172
ENSG00000150782,IL18,0.04869498888495513,-0.1607398164365028,1,0.05561718419271811,0.09165482984724704,1,0.04824669018044273,-0.14265004119728086,1,0.051081674827322995,-0.052622933847191966,1,0.037963627558653346,-0.38240885882652,1,0.07128237340135966,0.4972863451508549,1,0.07298083583468018,0.5432605890552327,0.9247582684002723
ENSG00000197580,BCO2,0.0013341092845193187,-0.18829553895706397,1,0.0020347750314409067,0.41087654171228927,1,0.0011220160507079706,0.02594956277846272,1,0.00102163349654646,-0.13463134500542395,1,0.007592725511730669,2.6738593608202255,0.9741277748011388,0.003751703863229456,1.5886606981715898,1,0,0.9246896956912565,1
ENSG00000150787,PTS,0.02801629497490569,0.10457009032783571,1,0.027808592096359056,0.09047591657152143,1,0.031416449419823175,0.30993917500588264,1,0.01941103643438274,-0.48255464842573037,1,0.04175999031451868,0.786334090078638,1,0.02813777897422092,0.15570129089548246,1,0.00810898175940891,-1.2000060517580584,1
ENSG00000250303,LINC02762,0.0033352732112982967,0.046169714679957785,1,0.004747808406695449,0.6739109475460845,1,0.006732096304247824,1.2927361034733655,1,0,-2.134631345005425,1,0.0037963627558653345,1.0185075322076713,1,0.003751703863229456,0.5886606981715898,1,0,0.050220577775116126,1
ENSG00000254968,LINC02763,0,-0.03629244551201438,1,0.001356516687627271,3.1657640438757575,1,0,0.9004186806946048,1,0,0.7398377729107164,1,0,2.825862454265275,1,0,1.7406637916166385,1,0,2.9246896956912565,1
ENSG00000149292,TTC12,0.0013341092845193187,-0.8663674440697005,1,0.0033912917190681777,0.46532432573466753,1,0,-1.6845438200265512,1,0.0051081674827323,1.2093230562119368,1,0,0.24089995354411897,1,0.007503407726458912,1.8401994651675535,1,0.004054490879704455,1.4221893551620735,1
ENSG00000086827,ZW10,0.006003491780336934,0.8705981500965052,0.9723873570851563,0.004747808406695449,0.41087654171229104,1,0,-2.1584750083589643,1,0.00204326699309292,-0.6137991817039827,1,0.0037963627558653345,0.825862454265275,1,0.005627555794844184,0.8661946737004982,1,0.00810898175940891,1.5710527410765556,0.8677299534120437
ENSG00000048028,USP28,0.008004655707115912,-0.0728183215371292,1,0.010173875157204533,0.3713481775256531,1,0.005610080253539853,-0.4842451695407197,1,0.00817306797237168,0.0352936564368882,1,0,-1.2896147631546606,1,0.013130963521303097,0.8337731960081207,1,0.01621796351881782,1.246617790578619,0.7735370203240604
ENSG00000256947,AP002518.2,0,-2.843647367569619,0.6272726712613386,0.004069550062881813,0.4812658696036882,1,0.005610080253539853,1.0703436821369179,1,0.00102163349654646,-0.9971278212554893,1,0.011389088267596005,2.240899953544119,0.9741277748011388,0.005627555794844184,1.1557012908954833,1,0.00810898175940891,1.8466871836899834,0.8013214179121984
ENSG00000166741,NNMT,0.28950171474069214,0.2746226566529302,1,0.24281648708528153,-0.07090977542113963,1,0.2906021571333644,0.24682946078131107,1,0.2451920391711504,-0.045398743162166966,1,0.09111270614076804,-1.4590464511912813,1,0.27950193781059446,0.1696612327403233,1,0.08514430847379355,-1.5476011342599,0.7735370203240604
ENSG00000180425,C11orf71,0.006670546422596593,0.5486700552091417,1,0.005426066750509084,0.16576404387575927,1,0.003366048152123912,-0.37259981371181095,1,0.00408653398618584,-0.16062655353836774,1,0,-0.5891750450135689,1,0.007503407726458912,0.8401994651675526,1,0.00810898175940891,1.1877241015250508,0.9893019088929018
ENSG00000076053,RBM7,0.012006983560673867,0.27303561259571385,1,0.008817358469577262,-0.28426887675928914,1,0.013464192608495648,0.4853811814157609,1,0.00817306797237168,-0.3126296469834182,1,0.007592725511730669,0.041591145320712286,1,0.016882667384532552,0.8661946737004973,1,0.004054490879704455,-0.46762772708750333,1
