Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000170919,TPT1-AS1,0.006231263626453493,-0.07947881770741194,1,0.006636622971786042,0.044033345183374095,1,0.00328689584258839,-0.8030488671083926,1,0.007191160932939834,0.2748470114213033,1,0.014723021070018185,1.4767260569177685,0.9710389186214158,0.005795507051860325,0.12420096098061162,1,0.016776375500377368,1.6728627919403394,0.6638914022832346,0,6.809521219304176,1
ENSG00000174032,SLC25A30,0.0018693790879360478,0.41528587404216566,1,0.0006636622971786043,-0.7831300579544092,1,0.0010956319475294632,0.12295055144783085,1,0.002397053644313278,1.0118126055875099,1,0,0.9048197090220587,1,0.005795507051860325,2.372128474424197,1,0,1.1009564440446287,1,0,8.707641605284962,1
ENSG00000251015,SLC25A30-AS1,0,0.41528587404216566,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0.0019318356839534416,4.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000136152,COG3,0.006231263626453493,0.41528587404216566,1,0.005309298377428834,0.12376053765410777,1,0.004382527790117853,-0.04054818083504941,1,0.004794107288626556,0.11134827913842393,1,0.014723021070018185,1.878824500489114,0.9383357236015583,0.0019318356839534416,-0.582067835962679,1,0,-0.43961193731807313,1,0,7.16707322392226,1
ENSG00000123200,ZC3H13,0.03551820267078491,0.29598694566982076,1,0.027210154184322776,-0.21863165979296895,1,0.02300827089811873,-0.4355397379121344,1,0.039551385131169084,0.4554192570631246,1,0.03312679740754092,0.24323592669798977,1,0.030909370943255066,0.07588702320048402,1,0.020970469375471708,-0.3303828675633147,1,0,4.651373385638218,1
ENSG00000235903,CPB2-AS1,0,-1.1696766266789904,1,0.0006636622971786043,0.21686994204559085,1,0,-0.1400838543859635,1,0.003595580466469917,3.01181260558751,1,0,1.779288826938199,1,0,0.7871659737030399,1,0.004194093875094342,3.2384599677945634,0.7671667426526083,0,9.582110723201103,1
ENSG00000080618,CPB2,0,0.41528587404216566,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0.0036807552675045463,5.364251327659355,0.9383357236015583,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000173988,LRRC63,0,0.41528587404216566,1,0,0.5387980369329526,1,0.0010956319475294632,3.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000277228,AL138686.1,0.0006231263626453493,0.41528587404216566,1,0.0006636622971786043,0.5387980369329526,1,0,0.12295055144783085,1,0.001198526822156639,1.596775106308666,1,0,2.0423232327719933,1,0.0019318356839534416,2.372128474424196,1,0,2.2384599677945634,1,0,9.845145129034897,1
ENSG00000136141,LRCH1,0.025548180868459322,0.6177787379409088,1,0.011945921349214876,-0.7982369503446183,0.949708646791819,0.007669423632706243,-1.296588340065954,1,0.025169063265289417,0.5170479138379314,1,0.018403776337522732,0.18102950360358516,1,0.027045699575348185,0.6351628802579903,1,0.02935865712566039,0.8189210762807795,0.8988436569055753,0,5.334183209757518,1
ENSG00000139684,ESD,0.027417559956395367,-0.11522884265661393,1,0.03782875093918044,0.5264143124771197,0.9880445763872923,0.028486430635766048,-0.009687217130288417,1,0.031161697376072613,0.14220924284318492,1,0.01104226580251364,-1.0536011872265423,1,0.028977535259301627,0.059245519139841996,1,0.008388187750188684,-1.280914191299015,1,0,4.724129728073532,1
ENSG00000136143,SUCLA2,0.029910065406976764,0.506433762100361,1,0.022564518104072544,-0.05983940068528071,1,0.020817007003059804,-0.1520564960520394,1,0.017977902332349586,-0.36900917835342106,1,0.02208453160502728,0.10551705925918675,1,0.017386521155580977,-0.3393664322258916,1,0.033552751000754735,0.6859189447657865,1,0,5.037790206977293,1
ENSG00000260388,LINC00562,0.0012462527252906986,2.0002483747633217,1,0,-0.4612019630670474,1,0,0.4448786463351926,1,0.001198526822156639,2.01181260558751,1,0,2.364251327659355,1,0,1.372128474424196,1,0,2.560388062681927,1,0,10.167073223922259,1
ENSG00000227848,SUCLA2-AS1,0,0.41528587404216566,1,0,0.5387980369329526,1,0.0010956319475294632,3.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
