Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000185437,SH3BGR,0.0013948138765446732,1.2113136059529168,0.8982495560245665,0.0009422653217385342,0.4112017965543231,1,0,-0.4650833692588776,1,0,0.8015594738073375,1
ENSG00000183778,B3GALT5,0.00046493795884822435,0.7962761066740729,1,0,-0.7587232048879891,1,0.0009087615794648872,2.1198791314622785,1,0,1.8015594738073375,1
ENSG00000184809,B3GALT5-AS1,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000183036,PCP4,0.00046493795884822435,-0.2037238933259271,1,0.0004711326608692671,-0.17376070416683298,1,0.0009087615794648872,1.1198791314622785,1,0.001949534154594947,2.3865219745284936,0.746385809740773
ENSG00000171587,DSCAM,0.00046493795884822435,0.21131360595291682,1,0.0004711326608692671,0.24127679511201094,1,0.0009087615794648872,1.5349166307411224,1,0,1.3865219745284936,1
ENSG00000182240,BACE2,0.009763697135812712,0.21131360595291682,1,0.008480387895646807,-0.09575819216555992,1,0.009087615794648871,0.11987913146227935,1,0.007798136618379788,0.06459387964113095,1
ENSG00000157601,MX1,0.00046493795884822435,0.21131360595291682,1,0,-1.173760704166833,1,0.0018175231589297744,2.7048416321834345,1,0,1.3865219745284936,1
ENSG00000227702,LINC00111,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000183421,RIPK4,0.0013948138765446732,-0.7886863940470832,1,0.0014133979826078014,-0.7587232048879891,1,0.005452569476789323,1.757309052077571,1,0.003899068309189894,1.271044757108557,0.7928569283058988
ENSG00000141956,PRDM15,0.0027896277530893463,0.43370602728936447,1,0.0023556633043463355,0.08927370166696136,1,0.0009087615794648872,-0.6874757905953253,1,0.003899068309189894,1.271044757108557,0.7975854972359986
ENSG00000157617,C2CD2,0.0032545657119375706,0.4743480117867094,1,0.0009422653217385342,-1.4956887990541956,1,0.0018175231589297744,-0.20204896342508327,1,0.009747670772974735,2.3865219745284936,0.32483946946386627
ENSG00000173276,ZBTB21,0.0027896277530893463,-0.5662939727106364,0.9928214264539811,0.004711326608692671,0.4783159924128606,1,0.0027262847383946616,-0.27243829131648134,1,0.007798136618379788,1.3865219745284927,0.562476527317977
ENSG00000237232,ZNF295-AS1,0.00046493795884822435,-0.5256519882132906,1,0.0009422653217385342,0.4112017965543231,1,0.0009087615794648872,0.7979510365749167,1,0.001949534154594947,2.06459387964113,0.796968391970978
ENSG00000160179,ABCG1,0.00046493795884822435,0.21131360595291682,1,0.0004711326608692671,0.24127679511201094,1,0,0.11987913146227847,1,0.001949534154594947,2.8015594738073375,0.6492103978084559
