Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000285184,AC244033.2,0.007356865333398648,0.12117282801888951,1,0.0069191426987808766,0.005332561768658373,1,0,-3.019033656804547,1,0.013689354555619388,1.2215149283092632,0.5616995540607415,0.010627584270206939,0.807803585855301,1
ENSG00000136631,VPS45,0.01301599251293607,0.1332456603194654,1,0.01729785674695219,0.7538538457640191,1,0.005358821303450887,-1.1163308581594622,1,0.009778110396870992,-0.1321220263054368,1,0.010627584270206939,-0.14780229478624562,1
ENSG00000023902,PLEKHO1,0.0022636508718149686,-0.544826244793172,1,0.004036166574288845,0.4517342319568378,1,0.00428705704276071,0.6416963515345735,1,0,-1.0008774930271844,0.9033634484628148,0.0053137921351034696,0.9777285872976131,1
ENSG00000285554,AC242988.2,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0.0019556220793741984,4.391439929751577,0.43707824958666613,0,1.3927660865764562,1
ENSG00000143401,ANP32E,0.0469707555901606,0.1618148125162362,1,0.058812712939637454,0.6601874623354123,1,0.03858351338484639,-0.1777314028236061,1,0.011733732476245191,-1.7784850716907359,0.3258570583970464,0.031882752810620814,-0.4859276172014084,1
ENSG00000117362,APH1A,0.017543294256566005,0.15461931111203242,1,0.016721261522053787,0.05745529284479023,1,0.013932935388972308,-0.19480491618254714,1,0.009778110396870992,-0.5627563806352986,1,0.020192410113393185,0.4109134332867166,1
ENSG00000159208,CIART,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0,2.391439929751577,1,0.0010627584270206938,3.392766086576456,1
ENSG00000266472,MRPS21,0.10582567825734979,0.2794423263602708,0.9800822515697696,0.09340842643354184,0.015360270977438972,1,0.11467877589384899,0.3774837545034986,1,0.044979307825606565,-1.0597711820807523,0.5529857309700609,0.07226757303740718,-0.40560005225389206,1
ENSG00000117360,PRPF3,0.012450079794982328,-0.4651829080021326,0.9588878131728075,0.024793594670631476,0.9906003180885401,1,0.010717642606901775,-0.5596020381672497,1,0.017600598714367786,0.27042452879021006,1,0.011690342697227633,-0.4316623488400877,1
ENSG00000163125,RPRD2,0.018675119692473492,-0.610691894454451,0.8885677241392451,0.027676570795123506,0.14587854356645114,1,0.02572234225656426,0.028719474643820853,1,0.04106806366685817,0.7955891128876829,0.5342226803305112,0.028694477529558733,0.2114363218618962,1
ENSG00000143374,TARS2,0.007356865333398648,0.44310092290625214,1,0.00807233314857769,0.6424177935659472,1,0.00428705704276071,-0.3152349265735408,1,0.007822488317496793,0.6689739052804846,0.906147582178387,0.0010627584270206938,-1.777158914865855,1
ENSG00000143369,ECM1,0.0011318254359074843,1.8056710022909606,0.9412372514258726,0,-0.7409108459855585,1,0,0.40723109789755085,1,0.0019556220793741984,2.806477429030421,0.66106989958899,0,0.3927660865764562,1
ENSG00000228126,FALEC,0.0016977381538612266,1.2207085015698045,1,0.0011531904497968128,0.5221235598482359,1,0.0010717642606901776,0.8222685971763948,1,0,0.5840850076939716,1,0,-0.41458883548114756,1
ENSG00000237781,AL356356.1,0.0005659127179537422,-0.586646420487801,1,0,-1.7409108459855585,1,0.0010717642606901776,0.5998761758399471,1,0.0019556220793741984,1.5840850076939716,0.8690189580721261,0.004251033708082775,2.714694181463819,1
ENSG00000143382,ADAMTSL4,0,-0.3642539991513516,1,0,-0.32587334670671453,1,0,0.8222685971763948,1,0.0019556220793741984,3.391439929751577,0.5616995540607415,0.0010627584270206938,2.392766086576456,1
ENSG00000203804,ADAMTSL4-AS1,0.05262988276969802,-0.7004360777189556,0.7130583955987697,0.05823611771473905,-0.5114289998627917,1,0.07502349824831242,-0.009075820768859266,1,0.13493792347681968,0.9508673383655943,0.3489352798111251,0.12221721910737979,0.867042789229977,0.9594246601118765
ENSG00000143384,MCL1,0.027729723179733365,-0.2334673916159975,1,0.026523380345326694,-0.3156050112528872,1,0.027865870777944616,-0.15980949482634355,1,0.044979307825606565,0.6276742762416552,0.6522259091514688,0.04357309550784845,0.6051744193402833,1
