Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000214063,TSPAN4,0.06093499851197307,0.32301476920104744,0.8928128201212178,0.05227140269848538,-0.008295024979791954,1,0.052493348650299095,0.03294011715917211,1,0.0313735499432101,-0.8087060244358772,1,0.07215482115144989,0.5360598889052137,1,0.03793803741952209,-0.4426384365447422,1
ENSG00000250397,AP006623.1,0.0015491948774230442,-0.6723298700608602,1,0.0020633448433612653,-0.09287823445394316,1,0.0018747624517963964,0.41781564592776377,1,0.008963871412345743,2.6529851013835453,0.8837900941480281,0,-0.8519093671754607,1,0,-0.4908936051519639,1
ENSG00000177830,CHID1,0.0268527112086661,0.05559058450233856,1,0.027511264578150202,0.10713249317766049,1,0.011248574710778378,-1.0967575269019942,0.6092591158160642,0.028012098163580443,0.15007681654487381,1,0.030204343737816233,0.28749368948995624,1,0.02950736243740607,0.2662498709518726,1
ENSG00000183020,AP2A2,0.014459152189281746,-0.621703796990893,0.8005865002467277,0.027511264578150202,0.6613327401281293,1,0.024371911873353153,0.40414070903068744,0.9574885447501383,0.012325323191975397,-0.6868649015010799,1,0.020136229158544156,0.1070633645644854,1,0.02950736243740607,0.7017514727904315,1
ENSG00000184956,MUC6,0.0010327965849486961,2.6130723488013885,0.7053027774033602,0,0.02259898296599161,1,0,1.7397437408151255,1,0,0.8980975992200761,1,0,1.5631281321033832,1,0,1.92414389412688,1
ENSG00000254872,LINC02688,0,0.028109848080232425,1,0,0.6075614836871477,1,0.0018747624517963964,4.324706241536283,0.44143479652576123,0,1.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000215182,MUC5AC,0.0010327965849486961,0.291144253914025,1,0.0006877816144537551,0.02259898296599161,1,0.0037495249035927928,2.587740647370076,0.5161505176234334,0,-0.3242948221163715,1,0.0016780190965453461,1.5631281321033832,1,0,0.7017514727904324,1
ENSG00000117983,MUC5B,0.012393559019384354,-0.10939367566970315,1,0.017882321975797633,0.634528531287418,1,0.028121436776945945,1.3247062415362825,0.3776817898935644,0,-3.820720648235871,0.7272703345229349,0.0218142482550895,0.9110514355236905,1,0,-2.794674353329066,1
ENSG00000078902,TOLLIP,0.009295169264538265,0.06658399589486752,1,0.007565597758991306,-0.26690763422899266,1,0.005624287355389189,-0.37573347660480927,1,0.013445807118518614,0.757235063380227,1,0.00839009548272673,0.08919694377097187,1,0.010538343727645024,0.4502127057944678,1
ENSG00000255153,TOLLIP-AS1,0,-0.5568526526409237,1,0,0.02259898296599161,1,0.0018747624517963964,3.3247062415362834,0.5698068812234677,0.0011204839265432178,2.4830600999412322,1,0,1.5631281321033832,1,0,1.92414389412688,1
