Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000110925,CSRNP2,0.006427807956425611,1.3007864145276082,0.9595873894071865,0.0024120260652657306,-0.348453708957452,1,0.0025647092501876823,-0.027290242690341415,1,0.007428842183639621,1.641005320922515,1,0.0021419388205674928,-0.3310053412548628,1,0,-1.170145620402666,1,0.0021042036140535873,0.11421188699547713,1,0.008366924916854871,1.819621331067502,0.8169088704837106,0,7.707641605284963,1
ENSG00000135457,TFCP2,0.018569222985229544,-1.0576675563848683,0.7385698437873721,0.03457237360214214,0.010177268892352487,1,0.03590592950262755,0.09192291563703847,1,0.06685957965275659,1.0713095768546683,0.9485081834852135,0.034271021129079884,0.00741087642106919,1,0.029333522653714913,-0.19310676884597644,1,0.04208407228107174,0.35968792144496575,1,0.09203617408540359,1.556586925233709,0.49487247619904956,0,4.480572696739042,1
ENSG00000184271,POU6F1,0.0007142008840472901,0.3573699428939747,1,0.0008040086884219102,0.5775457095987715,1,0,0.12471285075470817,1,0.007428842183639621,3.962933415809877,0.9485081834852135,0,-0.17900224780981233,1,0.001833345165857182,1.9673579033472688,1,0,0.9215668090530809,1,0,1.9716244245125534,1,0,9.582110723201103,1
ENSG00000183283,DAZAP2,0.027139633593797025,-0.44469067949411656,1,0.0393964257326736,0.23044703897650276,1,0.03975299337790907,0.2420698013928675,1,0.014857684367279241,-0.9725263319954127,1,0.037483929359931126,0.1412570267169313,1,0.034833558151286456,0.048971668900921195,1,0.04629247950917892,0.4909324547232181,1,0.03765116212584692,0.24189039957742153,1,0,4.466633505781168,1
ENSG00000170545,SMAGP,0.0035710044202364507,-0.5430943835551103,1,0.006432069507375282,0.42554261615372013,1,0.01025883700075073,1.235744163143452,1,0.0037144210918198103,0.3779709150887207,1,0.005354847051418732,0.1835678315748961,1,0.005500035497571546,0.3823954026261136,1,0.004208407228107175,0.1372955001085181,1,0,-0.4878071941247448,1,0,7.122679104563806,1
ENSG00000139629,GALNT6,0.0028568035361891606,0.3007864145276091,1,0.0008040086884219102,-1.1005261955138668,1,0.0025647092501876823,0.3877472565885025,1,0.0037144210918198103,1.3779709150887207,1,0.0042838776411349856,1.0274486296576137,1,0.005500035497571546,1.4819310761770277,1,0,-0.5809335314761022,1,0.0041834624584274355,1.5565869252337095,1,0,8.07961038267192,1
ENSG00000050438,SLC4A8,0.0007142008840472901,0.6792980377813365,1,0.0008040086884219102,0.8994738044861332,1,0,0.3877472565885025,1,0,2.056042820201359,1,0.0010709694102837464,1.4059602529113437,1,0,0.9673579033472688,1,0.0021042036140535873,2.506529309774237,1,0,2.234658830346346,1,0,9.845145129034897,1
ENSG00000196876,SCN8A,0.007142008840472901,0.18453334603175975,1,0.004824052130531461,-0.4224542904012285,1,0.005129418500375365,-0.17784991926572324,1,0.01114326327545943,1.1300434016451355,1,0.007496785871986225,0.31849741166100465,1,0.003666690331714364,-0.41115371990645944,1,0.004208407228107175,-0.1939104083668557,1,0.025100774750564613,2.234658830346346,0.49487247619904956,0,6.809521219304176,1
ENSG00000260473,AC068987.2,0,-0.32070196221866354,1,0,-0.10052619551386677,1,0.0012823546250938411,2.124712850754708,1,0,2.3779709150887207,1,0,0.40596025291134374,1,0.001833345165857182,2.7043234975134762,1,0,1.506529309774237,1,0.0041834624584274355,3.9716244245125534,0.6537737087248379,0,10.167073223922259,1
ENSG00000261308,FIGNL2,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0.001833345165857182,4.289285998234632,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000261586,AC068987.3,0,0.6792980377813365,1,0.0008040086884219102,2.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000135503,ACVR1B,0.007856209724520192,0.804828919865197,0.9884675707462722,0.005628060818953372,0.1990340863450406,1,0.0012823546250938411,-1.2903246485241358,1,0.018572105459099052,2.155578493752273,0.9485081834852135,0.0042838776411349856,-0.13009264732886638,1,0,-1.755108121123822,1,0.00841681445621435,0.9704764095340277,1,0,-0.4878071941247448,1,0,7.122679104563806,1
ENSG00000161835,GRASP,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0,2.2892859982346323,1,0.0021042036140535873,4.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
